date,dow,eurusd,gbpusd,gold,ust10y,total_pnl
2020-03-24,3977763.470494994,132784.73910604217,-23229.802976857394,892150.6062539896,-129999.99999999985,4849469.012878168
2020-03-25,837839.9133345681,70599.16395726784,169023.80131079696,-252078.06288399082,-105000.00000000009,720384.8157186421
2020-03-26,2231390.2233668417,161066.3704526516,50033.92130257911,163572.87263370602,117499.99999999983,2723563.3877557786
2020-03-27,-1420645.9954851335,290174.47199265246,295333.7271116352,-238167.38379491997,155000.00000000015,-918305.1801757658
2020-03-30,1117287.322790176,164735.6987690074,206540.44750430423,-17550.341769814182,197499.99999999988,1668513.1272936729
2020-03-31,-643207.3839053926,-195708.77098482597,-65044.5675740785,-356966.70776818594,-69999.99999999978,-1330927.4302324827
2020-04-01,-1554843.3282414365,-5439.709882137933,29097.963142579174,-49261.083743842304,157499.99999999985,-1422946.1587248377
2020-04-02,785329.2022206371,-132402.28529971975,-20954.22308188266,451463.69281459873,20000.00000000002,1103436.3866536333
2020-04-03,-589902.8834227454,-195362.42468504605,10499.11161363326,73814.35689241544,100000.00000000009,-600951.8396017427
2020-04-06,2705665.3048350997,-73753.11145938923,-141185.96208148482,397563.8122054226,-222500.00000000017,2665790.043499648
2020-04-07,-40324.09185365849,-5551.957064864332,17184.942716856887,-109123.43470483033,-149999.99999999985,-287814.5409064961
2020-04-08,1204644.5947842898,168456.12736023698,80058.81872396037,5406.054781355029,-70000.00000000006,1388565.5956498422
2020-04-09,426866.24359838833,-56906.83799908003,43763.67614879806,637684.6403266479,87500.00000000007,1138907.7220747543
2020-04-13,-484877.9710422302,127025.0368188508,54869.684499312396,74300.19582997271,-50000.000000000044,-278683.05389409437
2020-04-14,836426.077465594,-18293.240647577757,50557.74014926628,102303.98899587434,-7500.000000000006,963494.5659631569
2020-04-15,-650918.8401052874,113521.92621074675,81443.62823379047,-251892.7534581883,284999.99999999994,-422846.03911893856
2020-04-16,49631.238472884754,-145653.16340464208,-83161.72976397863,-59055.118110236115,72500.00000000006,-165738.77280597202
2020-04-17,1048036.5949405434,-86198.99128839759,-26355.722386391943,-272029.7605208094,-112500.00000000009,550952.1207449444
2020-04-20,-854769.8689367339,16577.638607477853,0.0,110111.29528771035,70000.00000000006,-658080.9350415457
2020-04-21,-934638.0025065027,-3680.8686850098306,-36034.59320948077,-206276.44569816528,137500.00000000015,-1043129.9100991584
2020-04-22,694773.1601189988,-16566.9581224126,-115727.71839588492,451376.4747944227,-120000.0000000001,893854.9583951238
2020-04-23,58800.92793350889,-84745.76271186418,20326.85584193894,39914.38653323298,15000.000000000013,49296.40759681664
2020-04-24,386997.6347274096,-61054.57909342915,22719.8961376196,-84809.32325621638,42500.00000000004,306353.62851538375
2020-04-27,527768.9801209373,87222.7892734534,12143.782383418067,-100957.35422106067,-150000.00000000015,376178.19755674805
2020-04-28,-46741.53820910021,1847.745750183094,45281.798334277926,-12267.071674747498,115000.0000000001,103120.93420061341
2020-04-29,773014.5986461467,22170.900692843887,10464.461080255116,-62262.49634609604,-42500.00000000004,700887.4640731496
2020-04-30,-409391.7883758352,73821.1682199852,28144.097780637978,-169073.61747094063,12500.000000000011,-464000.1398461527
2020-05-01,-894245.4772337838,125034.47641813103,88204.6347526244,91734.94834342711,-50000.000000000044,-639271.4177196012
2020-05-04,38461.55467383094,27409.77615349749,-100945.87075749061,109766.8928887574,12500.000000000011,87192.35295859523
2020-05-05,196488.30135546636,-102189.78102189969,-6423.638991489566,-21969.65258656036,-50000.000000000044,15905.228755516699
2020-05-06,-320132.3614322943,-119222.30374174615,-1606.9419893938175,-177775.17014785306,-134999.99999999983,-753736.7773112871
2020-05-07,312438.72714734165,-73807.54682166257,-94824.81517197106,334877.0929818301,199999.9999999999,678683.458135538
2020-05-08,667621.1860584025,70376.88674877529,40564.66006814974,-103670.57730282126,-127500.00000000013,547392.1555725062
2020-05-11,-157268.49180397516,5536.587616497001,33128.636069812426,-128077.66536054865,-109999.99999999983,-356680.9334782142
2020-05-12,-660653.8108553472,-57195.571955721556,-67649.19062575481,80516.72270394606,119999.99999999984,-584981.8507328776
2020-05-13,-761141.0667382551,70311.77722268467,-63244.95256628593,83607.13447547519,72500.00000000006,-597967.1076063812
2020-05-14,568133.4757400281,-42408.03908914792,-10607.915136680023,211797.65447225329,75000.00000000007,801915.1759864535
2020-05-15,89006.12647267492,-31411.677753141466,-6534.879921580306,132040.7341349772,-52500.000000000044,130600.30293293028
2020-05-18,1347590.6274830673,25909.132969372804,-120974.3338237712,-184783.8485228709,-259999.99999999997,807741.5781057982
2020-05-19,-555663.0647910726,173736.2535809961,94324.01125268886,107402.70239057548,82500.00000000007,-97700.09756681217
2020-05-20,533584.2814805381,23820.4306000922,45901.6393442635,55039.55968352292,77499.9999999998,735845.9111084164
2020-05-21,-144950.94787983608,100658.85797950535,-15502.610966057206,-257911.57317491097,7500.000000000006,-310206.2740412989
2020-05-22,-12813.535277262366,-54629.88254575363,-11440.712592956093,122929.38099389694,50000.000000000044,94045.25057792489
2020-05-26,758149.5481738109,-91299.18743723042,-17998.85461834183,-257696.2988585263,-102499.99999999981,288655.2072597127
2020-05-27,774575.5069691606,144914.24378611395,109827.06335546322,48392.77334584558,44999.99999999976,1122709.587456583
2020-05-28,-202246.5709028448,63740.66654525112,-56749.08796108769,26311.173478338333,-62499.999999999774,-231443.8188403428
2020-05-29,-24154.903183538634,112553.3266769585,45658.37749694213,206618.80581334446,142499.99999999985,483175.60680370627
2020-06-01,126731.90952566582,72208.68309414375,21913.805697588716,7772.468190452298,-35000.00000000003,193626.86650785053
2020-06-02,367695.4915050157,12591.060347153516,112568.83705863307,-108758.20002301695,-45000.00000000004,339097.1888877853
2020-06-03,716841.5062163314,113248.24734855187,75278.28942099912,-238233.24831903636,-202499.9999999999,464634.79466684617
2020-06-04,15894.62308369316,84011.08231298249,-4769.096256258543,186417.7170455894,-147499.99999999985,134054.32618600669
2020-06-05,1104208.1560561634,181559.2737629057,27037.773359839255,-372622.02571412054,-210000.00000000017,730183.1774647876
2020-06-08,595740.1761205216,-31751.631681073977,92790.86366880796,197768.7626774849,50000.000000000044,904548.1707857405
2020-06-09,-380992.75943659636,-24734.982332152988,7072.135785008982,144850.73308602825,137500.00000000015,-116304.87289771202
2020-06-10,-362303.50942164427,45993.27790553609,-18845.70082450132,-12247.040298594691,202499.9999999999,-144902.97263920426
2020-06-11,-2414365.474014629,58242.14613483925,0.0,163719.13850464104,237499.9999999999,-1954904.1893751486
2020-06-12,664909.1438015619,-135503.73955125484,-105420.50192746344,-23383.371824480248,-114999.99999999981,285601.5304983635
2020-06-15,215449.46913831797,-63784.54996456506,-54066.94760276776,-78066.26958885121,-7500.000000000006,12031.701982133942
2020-06-16,715700.2479509499,152861.71347316026,103125.74946038878,81090.50746962665,-135000.00000000012,917778.2183541256
2020-06-17,-226814.55063868206,-127006.52672428703,-41937.01535053051,-3469.010175761178,57500.00000000005,-341727.10288926074
2020-06-18,-52942.98038906575,-40830.818391619505,-25427.09574890667,-38167.938931298886,97500.00000000009,-59868.83346089072
2020-06-19,-279998.92638448207,-56924.30845859908,-100374.41249103885,183499.5361781089,-7500.000000000006,-261298.11115601112
2020-06-22,207661.26070967506,-58870.75194006108,-63571.2561358337,92788.81952001661,-17500.000000000015,160508.0721537969
2020-06-23,176365.30469210766,182501.3419216326,124716.55328798237,131496.55604257958,-12500.000000000011,602579.7559443022
2020-06-24,-950279.2847557529,56737.58865248235,18397.05647096457,-53326.56170644878,62499.999999999774,-865971.201338755
2020-06-25,412171.8435239541,-107850.0707213581,-89421.15768462933,-31430.513081890378,25000.000000000022,208470.1020360763
2020-06-26,-992470.5580759402,-51550.97324682112,9667.28429871777,88530.73037852543,95000.00000000009,-850823.516645518
2020-06-29,811845.0323898541,7128.85403671315,-66800.80482897366,19464.033850492557,-0.0,771637.1154480862
2020-06-30,296837.76244540437,37413.14804917017,-25117.485010531793,153820.14874915418,-42500.00000000004,420453.57423319685
2020-07-01,-105639.12279451138,-19560.771761359953,63357.972544877404,-165644.17177914016,-72500.00000000006,-299986.0937901342
2020-07-02,125651.98249696597,26699.893200428094,61344.74130276901,91360.25265057413,32500.00000000003,337556.86965073727
2020-07-06,622922.745491602,-7110.479068526132,8824.70918572187,37836.322869956304,-37500.00000000004,624973.2984787539
2020-07-07,-528387.95405947,117364.63056815082,15229.240141070299,131674.5876432779,85000.00000000007,-179119.49570697092
2020-07-08,239415.09869765176,-67179.3511888974,38415.36614645813,93947.45593614972,-7500.000000000006,297098.56959136226
2020-07-09,-484962.37428684364,113525.49889135144,56605.277844217206,-134673.6436243462,120000.0000000001,-329505.24117562105
2020-07-10,502696.0537366787,-89955.02248875465,-7134.929443476379,-8337.038683859377,-70000.00000000006,327269.0631205882
2020-07-13,14093.797578548229,38979.447200566676,18246.727489090732,106773.44010677215,-17500.000000000015,160593.41237497778
2020-07-14,747059.7029801629,61892.13085765033,-60183.71872030248,-3313.0866924363513,62500.00000000006,807955.0284250744
2020-07-15,298876.72332156944,116350.81533715397,13543.65838113214,6627.637247323959,-37500.00000000004,397898.8342871794
2020-07-16,-176354.01431330634,10516.168609235876,17503.381335031154,-105167.27393176606,45000.00000000004,-208501.73830080536
2020-07-17,-82162.85121476874,-43794.3417710418,-25414.97895322098,80057.81953632996,-40000.00000000004,-111314.3524027016
2020-07-20,11705.180911026902,89536.51685393638,9554.900867905226,63042.63673063248,20000.00000000002,193839.23536350104
2020-07-21,209271.66168119738,27964.694573099358,72388.83143743547,218899.7191475306,32500.00000000003,561024.9068392628
2020-07-22,215734.4897989566,130901.47482328617,54493.76085926216,176671.73252279623,30000.000000000025,607801.4580043012
2020-07-23,-458154.6065591735,60690.13351829522,-785.4842510401916,201169.46515744805,32500.00000000003,-164580.49213447043
2020-07-24,-239581.3048990486,46676.46296136141,785.5459544381382,65110.37001746822,-17500.000000000015,-144508.92596578086
2020-07-27,151900.8956969603,98309.76198689445,51056.4763176502,266431.2443999373,-50000.000000000044,517698.37840144214
2020-07-28,-270536.4763358875,199090.3629966523,73460.45639262222,106421.54324184472,70000.00000000006,178435.88629523176
2020-07-29,212672.59758416368,-84968.98631999538,26377.036462374992,67876.7933357316,5000.000000000005,226957.4410622749
2020-07-30,-297940.01937483996,109224.33654748432,44877.74682760737,-85999.48809828617,94999.99999999981,-134837.42409803462
2020-07-31,152523.50016056292,151065.09377917464,104760.43752888576,158317.45868300385,12500.000000000011,579166.4901516272
2020-08-03,312649.46088135906,-151617.25067385667,-12196.981247141191,24454.86040350664,-67499.99999999978,105790.08936386804
2020-08-04,215360.18061534822,-32252.588694619,-17554.571821095655,268565.61546287016,119999.99999999984,554118.6355625036
2020-08-05,486675.1626164301,88412.81985888294,5352.091138466353,224115.53068159005,-70000.00000000006,734555.6042953695
2020-08-06,238630.04714442694,98180.27930596606,31331.193642059054,150657.27930678174,17500.000000000015,536298.7993992338
2020-08-07,59426.04843615529,5053.482691819156,8379.675478022986,-302705.33755788533,-65000.00000000006,-294846.1309518879
2020-08-10,456690.14649252995,-156618.39003031419,-65458.97396864175,106711.10890005609,-29999.99999999975,311323.89139363036
2020-08-11,-131643.0526809692,-76381.22719171525,19154.152620288743,-680201.5411973927,-210000.00000000017,-1079071.6684497886
2020-08-12,366510.7446081961,-1703.867779860868,-19882.235986847794,17851.598882336893,-30000.000000000025,332776.2397238243
2020-08-13,-100232.90693302045,97128.73817841138,-2298.674431078229,169000.98196289237,-114999.99999999981,48598.13877720527
2020-08-14,43033.73299800129,39002.88282177477,17627.22256284377,-151019.57377216814,17500.000000000015,-33855.735389548296
2020-08-17,-107903.32755481136,60929.16984006269,27541.886619233403,371708.828084667,64999.99999999978,417276.55698915146
2020-08-18,-84015.35505052793,38808.74040327331,762.9510948348184,108816.12090680281,35000.00000000003,99372.45735438305
2020-08-19,-107338.27080139091,121252.94712024281,111382.36191638562,-305341.60248074535,-15000.000000000013,-195044.56424550782
2020-08-20,59211.97073037842,-174087.7134248442,-107891.9571450132,-190687.70102619092,77500.00000000007,-335955.4008656699
2020-08-21,240485.39765888167,50658.56129685909,83136.29776523612,6205.3986968668705,10000.00000000001,390485.6554178438
2020-08-24,473841.51923732576,-128010.77985514553,-95310.1361573383,-53499.43140700808,-15000.000000000013,182021.17181783382
2020-08-25,-74207.4983944735,-5085.607730124231,-17565.297082633435,-123722.57093946182,-90000.00000000007,-310580.9741466931
2020-08-26,103432.26033012965,67825.34972445742,61969.24489327626,226749.66000627683,-12500.000000000011,447476.5149541402
2020-08-27,198089.29292473354,13519.222644697847,51703.16301703171,-147627.1448446448,-147499.99999999985,-31815.46625818155
2020-08-28,198509.9818301539,-38841.50975259626,-15128.593040847349,335657.7851790188,42500.00000000004,522697.66421572916
2020-08-31,-273390.64496349153,165820.64297800514,118181.81818181727,22905.426040923383,90000.00000000007,123517.24223725434
2020-09-01,265435.69216374797,35240.81221681463,6738.544474393926,4574.1004269173045,52499.99999999977,364489.1492818736
2020-09-02,555735.1445210235,-26802.914816987934,25439.58099513688,-257595.77278731737,52500.000000000044,349276.0379118551
2020-09-03,-971527.9806188914,-127484.6934496332,-35823.568923054605,-52729.528535981895,72500.00000000006,-1115065.771527561
2020-09-04,-197213.20636078232,-11817.337722632714,-66661.67328289952,-28792.280556131365,-247499.99999999997,-551984.4979224459
2020-09-08,-786779.0885608578,-30405.405405404817,-75403.40823405267,70949.63355683604,92499.99999999981,-729138.2686434796
2020-09-09,559447.348794897,-87971.5784131263,-147394.013067923,90791.51577858324,-47499.99999999977,367373.27309243113
2020-09-10,-508443.487171118,61172.47238742518,23904.996915484757,73276.08371471173,44999.99999999976,-305089.9341534965
2020-09-11,166594.15179021476,30492.969676432225,-146934.3795676603,-125882.71415413076,40000.00000000004,-35729.97225514404
2020-09-14,414562.9741441037,32138.02435723778,-780.7620237354485,118433.27484776678,-5000.000000000005,559353.5113253728
2020-09-15,2838.1760940854315,45596.55492696546,33575.388459436974,24576.314576828518,-20000.00000000002,86586.43405731636
2020-09-16,45982.225778336,-43807.91912384385,27237.354085603016,29903.3890507594,-20000.00000000002,39315.04979085455
2020-09-17,-162811.71987537536,-69233.36710570772,58207.217694994375,-154576.06366697297,7500.000000000006,-320913.93295306165
2020-09-18,-306773.9278717885,76251.800389735,12345.679012346622,93556.70103092684,-24999.999999999745,-149619.74743877977
2020-09-21,-645042.0899707909,-3376.0972315999284,-33138.10110974203,-391117.2583371736,57499.999999999774,-1015173.5466493068
2020-09-22,181112.94879492812,-131690.02194833857,-86600.17010747589,-20513.359983169164,17500.000000000015,-40190.6032440555
2020-09-23,-673432.5997556422,-101971.44799456214,-60057.71780672409,-305751.6064468535,-30000.000000000025,-1171213.372003782
2020-09-24,68409.41250144783,-83703.45063204887,-21186.440677966046,67745.57771923262,25000.000000000022,56265.098910665554
2020-09-25,467946.8246651919,24015.78179946906,31453.959267122576,-85104.10533640212,17500.000000000015,455812.4603953814
2020-09-28,528207.8872567753,-65107.51306433749,7838.8335815615665,121924.96097324423,-10000.00000000001,582864.1687472436
2020-09-29,-166726.72550741286,75633.86334335842,83026.55283151993,172202.05040581082,45000.00000000004,209135.74107327635
2020-09-30,419500.33257251215,107885.94913948124,-4660.918200887209,-53845.74776962359,-80000.00000000007,388879.6157414825
2020-10-01,44345.738381743606,-27252.59751319653,39636.27885287924,166092.71523179035,-0.0,222822.13495321665
2020-10-02,-168715.78069447167,32406.617772471334,-24771.636476235148,-64451.89687696473,-47499.99999999977,-273032.6962752
2020-10-05,588959.3578108576,-42571.30693912537,34921.620363184134,97095.04262709113,-165000.00000000015,513404.71386200737
2020-10-06,-467368.93860591657,122866.89419795494,47946.79452478467,-89411.7647058823,50000.000000000044,-335967.0145890592
2020-10-07,668802.8125400591,-91587.5169606517,-84660.97129223305,-138077.9548682337,-107500.0000000001,246976.3694189405
2020-10-08,150926.77715021095,49412.165615949634,27167.58518978457,39817.370991719334,50000.000000000044,317323.8989476646
2020-10-09,198717.63074787997,0.0,17030.500077410692,245419.88774753775,-25000.000000000022,436168.0185728284
2020-10-12,306843.34432904306,84983.42823149319,71097.37248840675,23443.605105496477,-5000.000000000005,481367.7501544395
2020-10-13,-191412.0909148892,-1692.4769400006312,26089.625537140117,-265279.58387516206,125000.00000000012,-307294.52619291167
2020-10-14,-202349.666891099,-125253.89302640688,-100260.21735802804,101667.99046862463,12500.000000000011,-313695.7868069093
2020-10-15,-24303.8507399862,3406.5746891531744,59528.4112872041,14989.743859464832,-22500.00000000002,31120.87909583589
2020-10-16,137706.9719451718,-63010.89918256286,-84537.35013833285,-18915.51071878994,-32500.00000000003,-61256.78809451389
2020-10-19,-502726.4963569261,15375.416417526822,20151.914431869587,44191.919191920446,-42500.00000000004,-465507.2463156093
2020-10-20,140730.303006662,90474.56469784887,16243.811881186954,31472.933277379987,-90000.00000000007,188921.61286307778
2020-10-21,-121126.68891888668,103662.1633103918,3861.3020310451775,111494.97487436877,-47499.99999999977,50391.751296919305
2020-10-22,189622.27967850742,40574.80980558026,137409.29442643156,-183154.94128650078,-80000.00000000007,104451.4426240184
